usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count,inference_geo,speed
2026-05-01,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,57002,0,0,0,16356,0,not_available,
2026-05-01,claude-sonnet-4-5-20250929,Gold Mood Astro,Default,standard,≤ 200k,8777,0,0,0,3152,0,not_available,
2026-05-02,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,30418,0,0,0,8214,0,not_available,
2026-05-03,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,28629,0,0,0,6449,0,not_available,
2026-05-03,claude-sonnet-4-6,Gold Mood Astro,Default,standard,≤ 200k,12057,0,0,0,3145,0,global,
2026-05-04,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,55325,0,0,0,11131,0,not_available,
2026-05-05,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4235,0,not_available,
2026-05-05,claude-sonnet-4-6,Gold Mood Astro,Default,standard,≤ 200k,3772,0,0,0,1013,0,global,
2026-05-06,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4209,0,not_available,
2026-05-07,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4261,0,not_available,
2026-05-07,claude-sonnet-4-5-20250929,Gold Mood Astro,Default,standard,≤ 200k,7778,0,0,0,3347,0,not_available,
2026-05-07,claude-sonnet-4-6,Gold Mood Astro,Default,standard,≤ 200k,6792,0,0,0,939,0,global,
2026-05-08,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4364,0,not_available,
2026-05-09,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4095,0,not_available,
2026-05-10,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4180,0,not_available,
2026-05-10,claude-sonnet-4-6,Gold Mood Astro,Default,standard,≤ 200k,3749,0,0,0,1055,0,global,
2026-05-11,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,53140,0,0,0,10917,0,not_available,
2026-05-12,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4288,0,not_available,
2026-05-13,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,29312,0,0,0,4699,0,not_available,
2026-05-14,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4210,0,not_available,
2026-05-15,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4229,0,not_available,
2026-05-16,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27273,0,0,0,5533,0,not_available,
2026-05-17,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,54076,0,0,0,8568,0,not_available,
2026-05-18,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,53140,0,0,0,10721,0,not_available,
2026-05-19,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4348,0,not_available,
2026-05-20,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,29299,0,0,0,4707,0,not_available,
2026-05-21,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,28314,0,0,0,8563,0,not_available,
2026-05-22,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4104,0,not_available,
2026-05-23,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4301,0,not_available,
2026-05-24,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,29274,0,0,0,4600,0,not_available,
2026-05-25,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,84116,0,0,0,22700,0,not_available,
2026-05-26,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4315,0,not_available,
2026-05-27,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4241,0,not_available,
2026-05-28,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4251,0,not_available,
2026-05-29,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,1653047,0,0,0,448894,0,not_available,
2026-05-30,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,33849,0,0,0,5127,0,not_available,
2026-05-31,claude-haiku-4-5-20251001,Gold Mood Astro,Default,standard,≤ 200k,27038,0,0,0,4222,0,not_available,
